# Volcado crudo Ui24R
# fecha: 2026-09-08T17:00:25.941Z
# host: 192.168.0.49
# handshake: 10815005726458572105:5:5:websocket
# url websocket: ws://192.168.0.49/socket.io/1/websocket/10815005726458572105
# duracion objetivo: 20s
# NOTA: esta sesion no envio ningun comando de escritura. Solo heartbeat "2::".

    67ms [MSG4] SETS^flavour^1
    67ms [MSG4] SETS^type^8ch
    67ms [MSG4] SETS^var.currentShow^Prueba
    67ms [MSG4] SETS^var.currentSnapshot^Alma caninde
    67ms [MSG4] SETS^var.mtk.session^0002
    67ms [MSG4] SETS^var.currentCue^
    67ms [MSG4] SETS^i.0.instrument^
    67ms [MSG4] SETS^i.0.src^hw.0
    67ms [MSG4] SETS^i.0.scsrc^ua.0
    67ms [MSG4] SETS^i.0.iosyscmd^
    67ms [MSG4] SETS^i.0.iosysname^
    67ms [MSG4] SETS^m.afs.eq.1^376.4693603516,7.0000000000,-6.0000000000,2
    67ms [MSG4] SETS^m.afs.eq.0^4224.9633789062,7.0000000000,-6.0000000000,2
    67ms [MSG4] SETS^m.afs.eq.4^1000.0000000000,116.0000000000,0.0000000000,0
    67ms [MSG4] SETS^m.afs.eq.5^1000.0000000000,116.0000000000,0.0000000000,0
    67ms [MSG4] SETS^m.afs.eq.2^1000.0000000000,116.0000000000,0.0000000000,0
    67ms [MSG4] SETS^m.afs.eq.3^1000.0000000000,116.0000000000,0.0000000000,0
    67ms [MSG4] SETS^m.gate.prname^
    67ms [MSG4] SETS^i.0.name^GTR GAB
    67ms [MSG4] SETS^m.afs.eq.8^1000.0000000000,116.0000000000,0.0000000000,0
    67ms [MSG4] SETS^m.afs.eq.9^1000.0000000000,116.0000000000,0.0000000000,0
    67ms [MSG4] SETS^m.afs.eq.6^1000.0000000000,116.0000000000,0.0000000000,0
    67ms [MSG4] SETS^m.afs.eq.7^1000.0000000000,116.0000000000,0.0000000000,0
    67ms [MSG4] SETS^m.afs.eq.10^1000.0000000000,116.0000000000,0.0000000000,0
    67ms [MSG4] SETS^m.afs.eq.11^1000.0000000000,116.0000000000,0.0000000000,0
    67ms [MSG4] SETS^m.dyn.prname^Vtg Main Limit
    67ms [MSG4] SETS^m.eq.prname^
    67ms [MSG4] SETS^v.0.name^
    67ms [MSG4] SETS^v.1.name^
    67ms [MSG4] SETS^v.2.name^
    67ms [MSG4] SETS^mtk.out.17^none
    67ms [MSG4] SETS^mtk.scout.17^i.17
    67ms [MSG4] SETS^mtk.out.16^none
    67ms [MSG4] SETS^mtk.scout.16^i.16
    67ms [MSG4] SETS^mtk.out.19^none
    67ms [MSG4] SETS^mtk.scout.19^i.19
    67ms [MSG4] SETS^mtk.out.18^none
    67ms [MSG4] SETS^mtk.scout.18^i.18
    67ms [MSG4] SETS^mtk.out.21^none
    67ms [MSG4] SETS^mtk.scout.21^l.1
    67ms [MSG4] SETS^mtk.out.20^none
    67ms [MSG4] SETS^mtk.scout.20^l.0
    67ms [MSG4] SETS^v.5.name^
    67ms [MSG4] SETS^iso.ch^
    67ms [MSG4] SETS^iso.mtx^
    67ms [MSG4] SETS^iso.m^
    67ms [MSG4] SETS^iso.bus^
    67ms [MSG4] SETS^iso.fx^
    67ms [MSG4] SETS^iso.gr^
    67ms [MSG4] SETS^v.3.name^
    67ms [MSG4] SETS^v.4.name^
    67ms [MSG4] SETS^usbdaw.20.src^hw.10
    67ms [MSG4] SETS^usbdaw.21.src^hw.11
    67ms [MSG4] SETS^usbdaw.18.src^hw.8
    67ms [MSG4] SETS^usbdaw.19.src^hw.9
    67ms [MSG4] SETS^usbdaw.24.src^hw.14
    67ms [MSG4] SETS^usbdaw.25.src^hw.15
    67ms [MSG4] SETS^usbdaw.22.src^hw.12
    67ms [MSG4] SETS^usbdaw.23.src^hw.13
    67ms [MSG4] SETS^usbdaw.28.src^hw.18
    67ms [MSG4] SETS^usbdaw.29.src^hw.19
    67ms [MSG4] SETS^usbdaw.26.src^hw.16
    67ms [MSG4] SETS^usbdaw.27.src^hw.17
    67ms [MSG4] SETS^mtk.out.0^none
    67ms [MSG4] SETS^usbdaw.30.src^li.0
    67ms [MSG4] SETS^usbdaw.31.src^li.1
    67ms [MSG4] SETS^usbdaw.4.src^a.2
    67ms [MSG4] SETS^usbdaw.5.src^a.3
    67ms [MSG4] SETS^usbdaw.2.src^a.0
    67ms [MSG4] SETS^usbdaw.3.src^a.1
    67ms [MSG4] SETS^usbdaw.8.src^a.6
    67ms [MSG4] SETS^usbdaw.9.src^a.7
    67ms [MSG5] SETS^usbdaw.6.src^a.4
    67ms [MSG5] SETS^usbdaw.7.src^a.5
    67ms [MSG5] SETS^usbdaw.12.src^hw.2
    67ms [MSG5] SETS^usbdaw.13.src^hw.3
    67ms [MSG5] SETS^usbdaw.10.src^hw.0
    67ms [MSG5] SETS^usbdaw.11.src^hw.1
    67ms [MSG5] SETS^usbdaw.16.src^hw.6
    67ms [MSG5] SETS^usbdaw.17.src^hw.7
    67ms [MSG5] SETS^usbdaw.14.src^hw.4
    67ms [MSG5] SETS^usbdaw.15.src^hw.5
    67ms [MSG5] SETS^mtk.out.9^none
    67ms [MSG5] SETS^mtk.scout.9^i.9
    67ms [MSG5] SETS^mtk.out.8^none
    67ms [MSG5] SETS^mtk.scout.8^i.8
    67ms [MSG5] SETS^mtk.out.11^none
    67ms [MSG5] SETS^mtk.scout.11^i.11
    67ms [MSG5] SETS^mtk.out.10^none
    67ms [MSG5] SETS^mtk.scout.10^i.10
    67ms [MSG5] SETS^mtk.out.13^none
    67ms [MSG5] SETS^mtk.scout.13^i.13
    67ms [MSG5] SETS^mtk.out.12^none
    67ms [MSG5] SETS^mtk.scout.12^i.12
    67ms [MSG5] SETS^mtk.out.15^none
    67ms [MSG5] SETS^mtk.scout.15^i.15
    67ms [MSG5] SETS^mtk.out.14^none
    67ms [MSG5] SETS^mtk.scout.14^i.14
    67ms [MSG5] SETS^mtk.out.1^none
    67ms [MSG5] SETS^mtk.scout.1^i.1
    67ms [MSG5] SETS^mtk.scout.0^i.0
    67ms [MSG5] SETS^mtk.out.3^none
    67ms [MSG5] SETS^mtk.scout.3^i.3
    67ms [MSG5] SETS^mtk.out.2^none
    67ms [MSG5] SETS^mtk.scout.2^i.2
    67ms [MSG5] SETS^mtk.out.5^none
    67ms [MSG5] SETS^mtk.scout.5^i.5
    67ms [MSG5] SETS^mtk.out.4^none
    67ms [MSG5] SETS^mtk.scout.4^i.4
    67ms [MSG5] SETS^mtk.out.7^none
    67ms [MSG5] SETS^mtk.scout.7^i.7
    67ms [MSG5] SETS^mtk.out.6^none
    67ms [MSG5] SETS^mtk.scout.6^i.6
    67ms [MSG5] SETS^hwouthp.1.src^hp.1
    67ms [MSG5] SETS^hwoutaux.9.src^
    67ms [MSG5] SETS^hwouthp.0.src^hp.0
    67ms [MSG5] SETS^hwouthpdsp.0.src^hpdsp.0
    67ms [MSG5] SETS^hwouthp.2.src^hp.2
    67ms [MSG5] SETS^hwouthp.3.src^hp.3
    67ms [MSG5] SETS^hwouthpdsp.3.src^hpdsp.3
    67ms [MSG5] SETS^casc.0.src^
    67ms [MSG5] SETS^hwouthpdsp.1.src^hpdsp.1
    67ms [MSG5] SETS^hwouthpdsp.2.src^hpdsp.2
    67ms [MSG5] SETS^casc.2.src^
    67ms [MSG5] SETS^casc.3.src^
    67ms [MSG5] SETS^casc.1.src^
    67ms [MSG5] SETS^hwoutm.0.src^m.0
    67ms [MSG5] SETS^hwoutaux.0.src^a.0
    67ms [MSG5] SETS^hwoutm.1.src^m.1
    67ms [MSG5] SETS^hwoutaux.3.src^a.3
