clave	veces	ultimo_valor
a.4.gate.attack	1	0
a.4.gate.bypass	1	0
a.4.gate.depth	1	0
a.4.gate.enabled	1	1
a.4.gate.hold	1	0.3042441765
a.4.gate.prmod	1	0
a.4.gate.prname	1	
a.4.gate.release	1	0.3150737134
a.4.gate.thresh	1	0
a.4.invert	1	0
a.4.link2master	1	0
a.4.matrix	1	0
a.4.mgmask	1	0
a.4.mix	1	0
a.4.mtx.0.mute	1	0
a.4.mtx.0.pan	1	0.5
a.4.mtx.0.postproc	1	1
a.4.mtx.0.value	1	0
a.4.mtx.1.mute	1	0
a.4.mtx.1.pan	1	0.5
a.4.mtx.1.postproc	1	1
a.4.mtx.1.value	1	0
a.4.mtx.2.mute	1	0
a.4.mtx.2.pan	1	0.5
a.4.mtx.2.postproc	1	1
a.4.mtx.2.value	1	0
a.4.mtx.3.mute	1	0
a.4.mtx.3.pan	1	0.5
a.4.mtx.3.postproc	1	1
a.4.mtx.3.value	1	0
a.4.mtx.4.mute	1	0
a.4.mtx.4.pan	1	0.5
a.4.mtx.4.postproc	1	1
a.4.mtx.4.value	1	0
a.4.mtx.5.mute	1	0
a.4.mtx.5.pan	1	0.5
a.4.mtx.5.postproc	1	1
a.4.mtx.5.value	1	0
a.4.mtx.6.mute	1	0
a.4.mtx.6.pan	1	0.5
a.4.mtx.6.postproc	1	1
a.4.mtx.6.value	1	0
a.4.mtx.7.mute	1	0
a.4.mtx.7.pan	1	0.5
a.4.mtx.7.postproc	1	1
a.4.mtx.7.value	1	0
a.4.mtx.8.mute	1	0
a.4.mtx.8.pan	1	0.5
a.4.mtx.8.postproc	1	1
a.4.mtx.8.value	1	0
a.4.mtx.9.mute	1	0
a.4.mtx.9.pan	1	0.5
a.4.mtx.9.postproc	1	1
a.4.mtx.9.value	1	0
a.4.mute	1	0
a.4.name	1	
a.4.pan	1	0.5
a.4.safe	1	0
a.4.solo	1	0
a.4.stereoIndex	1	-1
a.4.vca	1	-1
a.5.afs.clearall	1	0
a.5.afs.clearfixed	1	0
a.5.afs.clearlive	1	0
a.5.afs.cmode	1	0
a.5.afs.enabled	1	0
a.5.afs.eq.0	1	1000.0000000000,116.0000000000,0.0000000000,0
a.5.afs.eq.1	1	1000.0000000000,116.0000000000,0.0000000000,0
a.5.afs.eq.10	1	1000.0000000000,116.0000000000,0.0000000000,0
a.5.afs.eq.11	1	1000.0000000000,116.0000000000,0.0000000000,0
a.5.afs.eq.2	1	1000.0000000000,116.0000000000,0.0000000000,0
a.5.afs.eq.3	1	1000.0000000000,116.0000000000,0.0000000000,0
a.5.afs.eq.4	1	1000.0000000000,116.0000000000,0.0000000000,0
a.5.afs.eq.5	1	1000.0000000000,116.0000000000,0.0000000000,0
a.5.afs.eq.6	1	1000.0000000000,116.0000000000,0.0000000000,0
a.5.afs.eq.7	1	1000.0000000000,116.0000000000,0.0000000000,0
a.5.afs.eq.8	1	1000.0000000000,116.0000000000,0.0000000000,0
a.5.afs.eq.9	1	1000.0000000000,116.0000000000,0.0000000000,0
a.5.afs.fmode	1	0
a.5.afs.livelift	1	0
a.5.afs.logic	1	1
a.5.afs.numfixed	1	6
a.5.afs.numtotal	1	12
a.5.afs.sensitivity	1	0.5
a.5.delay	1	0
a.5.dyn.attack	1	0.34375
a.5.dyn.bypass	1	0
a.5.dyn.gain	1	0.75
a.5.dyn.outgain	1	0.3334960938
a.5.dyn.prmod	1	0
a.5.dyn.prname	1	
a.5.dyn.ratio	1	1
a.5.dyn.release	1	0.4887695312
a.5.dyn.softknee	1	0
